"","start","R.Rajkumar.movie."
"1",2013-10-01,2
"2",2013-10-02,3
"3",2013-10-03,2
"4",2013-10-04,2
"5",2013-10-05,2
"6",2013-10-06,2
"7",2013-10-07,1
"8",2013-10-08,1
"9",2013-10-09,1
"10",2013-10-10,1
"11",2013-10-11,2
"12",2013-10-12,2
"13",2013-10-13,2
"14",2013-10-14,1
"15",2013-10-15,2
"16",2013-10-16,3
"17",2013-10-17,3
"18",2013-10-18,3
"19",2013-10-19,5
"20",2013-10-20,7
"21",2013-10-21,4
"22",2013-10-22,5
"23",2013-10-23,6
"24",2013-10-24,6
"25",2013-10-25,6
"26",2013-10-26,8
"27",2013-10-27,7
"28",2013-10-28,8
"29",2013-10-29,7
"30",2013-10-30,9
"31",2013-10-31,12
"32",2013-11-01,11
"33",2013-11-02,12
"34",2013-11-03,11
"35",2013-11-04,10
"36",2013-11-05,10
"37",2013-11-06,11
"38",2013-11-07,11
"39",2013-11-08,11
"40",2013-11-09,12
"41",2013-11-10,11
"42",2013-11-11,9
"43",2013-11-12,10
"44",2013-11-13,8
"45",2013-11-14,8
"46",2013-11-15,9
"47",2013-11-16,9
"48",2013-11-17,10
"49",2013-11-18,8
"50",2013-11-19,8
"51",2013-11-20,7
"52",2013-11-21,7
"53",2013-11-22,8
"54",2013-11-23,11
"55",2013-11-24,11
"56",2013-11-25,8
"57",2013-11-26,9
"58",2013-11-27,10
"59",2013-11-28,10
"60",2013-11-29,11
"61",2013-11-30,15
"62",2013-12-01,16
"63",2013-12-02,13
"64",2013-12-03,15
"65",2013-12-04,16
"66",2013-12-05,22
"67",2013-12-06,76
"68",2013-12-07,100
"69",2013-12-08,91
"70",2013-12-09,84
"71",2013-12-10,75
"72",2013-12-11,68
"73",2013-12-12,66
"74",2013-12-13,68
"75",2013-12-14,83
"76",2013-12-15,73
"77",2013-12-16,51
"78",2013-12-17,48
"79",2013-12-18,48
"80",2013-12-19,47
"81",2013-12-20,45
"82",2013-12-21,57
"83",2013-12-22,50
"84",2013-12-23,39
"85",2013-12-24,40
"86",2013-12-25,44
"87",2013-12-26,36
"88",2013-12-27,31
"89",2013-12-28,33
"90",2013-12-29,33
"91",2013-12-30,26
"92",2013-12-31,29
