"","start","Race.2.movie."
"1",2013-02-01,73
"2",2013-02-02,100
"3",2013-02-03,85
"4",2013-02-04,58
"5",2013-02-05,50
"6",2013-02-06,46
"7",2013-02-07,45
"8",2013-02-08,54
"9",2013-02-09,67
"10",2013-02-10,59
"11",2013-02-11,39
"12",2013-02-12,35
"13",2013-02-13,32
"14",2013-02-14,32
"15",2013-02-15,35
"16",2013-02-16,48
"17",2013-02-17,41
"18",2013-02-18,27
"19",2013-02-19,27
"20",2013-02-20,27
"21",2013-02-21,27
"22",2013-02-22,29
"23",2013-02-23,33
"24",2013-02-24,30
"25",2013-02-25,17
"26",2013-02-26,18
"27",2013-02-27,18
"28",2013-02-28,20
