"","start","end","Robocop..movie."
"1",2013-11-03,2013-11-09,5
"2",2013-11-10,2013-11-16,6
"3",2013-11-17,2013-11-23,4
"4",2013-11-24,2013-11-30,5
"5",2013-12-01,2013-12-07,4
"6",2013-12-08,2013-12-14,4
"7",2013-12-15,2013-12-21,4
"8",2013-12-22,2013-12-28,6
"9",2013-12-29,2014-01-04,8
"10",2014-01-05,2014-01-11,8
"11",2014-01-12,2014-01-18,11
"12",2014-01-19,2014-01-25,16
"13",2014-01-26,2014-02-01,24
"14",2014-02-02,2014-02-08,50
"15",2014-02-09,2014-02-15,98
"16",2014-02-16,2014-02-22,100
"17",2014-02-23,2014-03-01,64
