"","start","Robocop..movie."
"1",2014-02-01,22
"2",2014-02-02,21
"3",2014-02-03,17
"4",2014-02-04,20
"5",2014-02-05,24
"6",2014-02-06,24
"7",2014-02-07,37
"8",2014-02-08,47
"9",2014-02-09,42
"10",2014-02-10,32
"11",2014-02-11,34
"12",2014-02-12,45
"13",2014-02-13,53
"14",2014-02-14,71
"15",2014-02-15,100
"16",2014-02-16,92
"17",2014-02-17,59
"18",2014-02-18,43
"19",2014-02-19,39
"20",2014-02-20,36
"21",2014-02-21,47
"22",2014-02-22,64
"23",2014-02-23,59
"24",2014-02-24,33
"25",2014-02-25,28
"26",2014-02-26,28
"27",2014-02-27,29
"28",2014-02-28,31
