"","start","Roy.movie."
"1",2015-02-01,30
"2",2015-02-02,24
"3",2015-02-03,23
"4",2015-02-04,23
"5",2015-02-05,23
"6",2015-02-06,26
"7",2015-02-07,31
"8",2015-02-08,29
"9",2015-02-09,23
"10",2015-02-10,25
"11",2015-02-11,28
"12",2015-02-12,34
"13",2015-02-13,100
"14",2015-02-14,96
"15",2015-02-15,71
"16",2015-02-16,55
"17",2015-02-17,50
"18",2015-02-18,40
"19",2015-02-19,38
"20",2015-02-20,36
"21",2015-02-21,40
"22",2015-02-22,31
"23",2015-02-23,23
"24",2015-02-24,22
"25",2015-02-25,20
"26",2015-02-26,20
"27",2015-02-27,20
"28",2015-02-28,23
