"","start","Rudhramadevi..Hindi..movie."
"1",2015-11-01,100
"2",2015-11-02,64
"3",2015-11-03,60
"4",2015-11-04,44
"5",2015-11-05,58
"6",2015-11-06,49
"7",2015-11-07,60
"8",2015-11-08,55
"9",2015-11-09,48
"10",2015-11-10,50
"11",2015-11-11,47
"12",2015-11-12,38
"13",2015-11-13,42
"14",2015-11-14,43
"15",2015-11-15,57
"16",2015-11-16,43
"17",2015-11-17,51
"18",2015-11-18,35
"19",2015-11-19,28
"20",2015-11-20,27
"21",2015-11-21,37
"22",2015-11-22,48
"23",2015-11-23,44
"24",2015-11-24,35
"25",2015-11-25,38
"26",2015-11-26,46
"27",2015-11-27,30
"28",2015-11-28,66
"29",2015-11-29,35
"30",2015-11-30,24
