"","start","Tanu.Weds.Manu.Returns.movie."
"1",2015-04-01,0
"2",2015-04-02,0
"3",2015-04-03,0
"4",2015-04-04,0
"5",2015-04-05,0
"6",2015-04-06,0
"7",2015-04-07,0
"8",2015-04-08,0
"9",2015-04-09,0
"10",2015-04-10,0
"11",2015-04-11,0
"12",2015-04-12,0
"13",2015-04-13,0
"14",2015-04-14,2
"15",2015-04-15,1
"16",2015-04-16,2
"17",2015-04-17,1
"18",2015-04-18,1
"19",2015-04-19,1
"20",2015-04-20,1
"21",2015-04-21,1
"22",2015-04-22,1
"23",2015-04-23,1
"24",2015-04-24,2
"25",2015-04-25,1
"26",2015-04-26,1
"27",2015-04-27,1
"28",2015-04-28,1
"29",2015-04-29,1
"30",2015-04-30,2
"31",2015-05-01,1
"32",2015-05-02,2
"33",2015-05-03,1
"34",2015-05-04,1
"35",2015-05-05,1
"36",2015-05-06,1
"37",2015-05-07,2
"38",2015-05-08,2
"39",2015-05-09,2
"40",2015-05-10,2
"41",2015-05-11,2
"42",2015-05-12,2
"43",2015-05-13,2
"44",2015-05-14,2
"45",2015-05-15,2
"46",2015-05-16,3
"47",2015-05-17,3
"48",2015-05-18,2
"49",2015-05-19,3
"50",2015-05-20,3
"51",2015-05-21,9
"52",2015-05-22,51
"53",2015-05-23,93
"54",2015-05-24,81
"55",2015-05-25,68
"56",2015-05-26,61
"57",2015-05-27,63
"58",2015-05-28,69
"59",2015-05-29,76
"60",2015-05-30,100
"61",2015-05-31,85
