"","start","The.Xpose.movie."
"1",2014-06-01,100
"2",2014-06-02,73
"3",2014-06-03,63
"4",2014-06-04,70
"5",2014-06-05,63
"6",2014-06-06,65
"7",2014-06-07,91
"8",2014-06-08,74
"9",2014-06-09,57
"10",2014-06-10,46
"11",2014-06-11,50
"12",2014-06-12,43
"13",2014-06-13,46
"14",2014-06-14,50
"15",2014-06-15,59
"16",2014-06-16,36
"17",2014-06-17,39
"18",2014-06-18,32
"19",2014-06-19,36
"20",2014-06-20,43
"21",2014-06-21,51
"22",2014-06-22,41
"23",2014-06-23,28
"24",2014-06-24,32
"25",2014-06-25,26
"26",2014-06-26,37
"27",2014-06-27,27
"28",2014-06-28,34
"29",2014-06-29,34
"30",2014-06-30,23
