"","start","X.Men.Days.of.Future.Past..movie."
"1",2014-06-01,100
"2",2014-06-02,55
"3",2014-06-03,58
"4",2014-06-04,50
"5",2014-06-05,55
"6",2014-06-06,59
"7",2014-06-07,74
"8",2014-06-08,71
"9",2014-06-09,43
"10",2014-06-10,40
"11",2014-06-11,37
"12",2014-06-12,31
"13",2014-06-13,38
"14",2014-06-14,49
"15",2014-06-15,47
"16",2014-06-16,33
"17",2014-06-17,24
"18",2014-06-18,32
"19",2014-06-19,33
"20",2014-06-20,33
"21",2014-06-21,46
"22",2014-06-22,46
"23",2014-06-23,29
"24",2014-06-24,29
"25",2014-06-25,26
"26",2014-06-26,26
"27",2014-06-27,30
"28",2014-06-28,36
"29",2014-06-29,37
"30",2014-06-30,23
