"","start","Yaariyan.movie."
"1",2014-02-01,100
"2",2014-02-02,87
"3",2014-02-03,62
"4",2014-02-04,68
"5",2014-02-05,58
"6",2014-02-06,37
"7",2014-02-07,65
"8",2014-02-08,74
"9",2014-02-09,75
"10",2014-02-10,47
"11",2014-02-11,46
"12",2014-02-12,46
"13",2014-02-13,45
"14",2014-02-14,48
"15",2014-02-15,68
"16",2014-02-16,55
"17",2014-02-17,41
"18",2014-02-18,43
"19",2014-02-19,42
"20",2014-02-20,41
"21",2014-02-21,49
"22",2014-02-22,62
"23",2014-02-23,61
"24",2014-02-24,38
"25",2014-02-25,40
"26",2014-02-26,38
"27",2014-02-27,42
"28",2014-02-28,40
