"","start","Yeh.Jawaani.Hai.Deewani.movie."
"1",2013-09-01,89
"2",2013-09-02,65
"3",2013-09-03,52
"4",2013-09-04,51
"5",2013-09-05,63
"6",2013-09-06,66
"7",2013-09-07,96
"8",2013-09-08,100
"9",2013-09-09,57
"10",2013-09-10,38
"11",2013-09-11,52
"12",2013-09-12,55
"13",2013-09-13,51
"14",2013-09-14,88
"15",2013-09-15,92
"16",2013-09-16,48
"17",2013-09-17,39
"18",2013-09-18,48
"19",2013-09-19,43
"20",2013-09-20,67
"21",2013-09-21,79
"22",2013-09-22,65
"23",2013-09-23,44
"24",2013-09-24,47
"25",2013-09-25,54
"26",2013-09-26,48
"27",2013-09-27,66
"28",2013-09-28,97
"29",2013-09-29,96
"30",2013-09-30,55
