"","start","Zanjeer.movie."
"1",2013-09-01,11
"2",2013-09-02,7
"3",2013-09-03,7
"4",2013-09-04,8
"5",2013-09-05,20
"6",2013-09-06,100
"7",2013-09-07,68
"8",2013-09-08,44
"9",2013-09-09,27
"10",2013-09-10,26
"11",2013-09-11,19
"12",2013-09-12,17
"13",2013-09-13,16
"14",2013-09-14,17
"15",2013-09-15,14
"16",2013-09-16,9
"17",2013-09-17,8
"18",2013-09-18,7
"19",2013-09-19,8
"20",2013-09-20,8
"21",2013-09-21,10
"22",2013-09-22,8
"23",2013-09-23,6
"24",2013-09-24,5
"25",2013-09-25,4
"26",2013-09-26,5
"27",2013-09-27,5
"28",2013-09-28,7
"29",2013-09-29,7
"30",2013-09-30,4
